provider,region,instance_type,vcpus,mem_gb,price_per_hour
# AWS (m6i)
aws,us-east-1,m6i.32xlarge,128,512,6.144
aws,us-east-1,m6i.16xlarge,64,256,3.072
aws,us-east-1,m6i.8xlarge,32,128,1.536
aws,us-west-2,m6i.32xlarge,128,512,6.30
aws,us-west-2,m6i.16xlarge,64,256,3.15
aws,us-west-2,m6i.8xlarge,32,128,1.575
aws,eu-west-1,m6i.32xlarge,128,512,6.64
aws,eu-west-1,m6i.16xlarge,64,256,3.32
aws,eu-west-1,m6i.8xlarge,32,128,1.66
aws,eu-central-1,m6i.32xlarge,128,512,6.80
aws,eu-central-1,m6i.16xlarge,64,256,3.40
aws,eu-central-1,m6i.8xlarge,32,128,1.70
aws,ap-south-1,m6i.32xlarge,128,512,6.88
aws,ap-south-1,m6i.16xlarge,64,256,3.44
aws,ap-south-1,m6i.8xlarge,32,128,1.72
aws,ap-southeast-1,m6i.32xlarge,128,512,7.05
aws,ap-southeast-1,m6i.16xlarge,64,256,3.525
aws,ap-southeast-1,m6i.8xlarge,32,128,1.7625

# Azure (Dv5)
azure,eastus,Standard_D128s_v5,128,512,7.90
azure,eastus,Standard_D64s_v5,64,256,3.95
azure,eastus,Standard_D32s_v5,32,128,1.98
azure,westus2,Standard_D128s_v5,128,512,8.10
azure,westus2,Standard_D64s_v5,64,256,4.05
azure,westus2,Standard_D32s_v5,32,128,2.03
azure,westeurope,Standard_D128s_v5,128,512,8.50
azure,westeurope,Standard_D64s_v5,64,256,4.25
azure,westeurope,Standard_D32s_v5,32,128,2.13
azure,northeurope,Standard_D128s_v5,128,512,8.40
azure,northeurope,Standard_D64s_v5,64,256,4.20
azure,northeurope,Standard_D32s_v5,32,128,2.10
azure,centralindia,Standard_D128s_v5,128,512,8.70
azure,centralindia,Standard_D64s_v5,64,256,4.35
azure,centralindia,Standard_D32s_v5,32,128,2.18
azure,southeastasia,Standard_D128s_v5,128,512,8.60
azure,southeastasia,Standard_D64s_v5,64,256,4.30
azure,southeastasia,Standard_D32s_v5,32,128,2.15

# GCP (N2)
gcp,us-central1,n2-standard-128,128,512,7.60
gcp,us-central1,n2-standard-64,64,256,3.80
gcp,us-central1,n2-standard-32,32,128,1.90
gcp,us-west1,n2-standard-128,128,512,7.80
gcp,us-west1,n2-standard-64,64,256,3.90
gcp,us-west1,n2-standard-32,32,128,1.95
gcp,europe-west1,n2-standard-128,128,512,8.10
gcp,europe-west1,n2-standard-64,64,256,4.05
gcp,europe-west1,n2-standard-32,32,128,2.02
gcp,asia-south1,n2-standard-128,128,512,8.20
gcp,asia-south1,n2-standard-64,64,256,4.10
gcp,asia-south1,n2-standard-32,32,128,2.05
gcp,asia-southeast1,n2-standard-128,128,512,8.30
gcp,asia-southeast1,n2-standard-64,64,256,4.15
gcp,asia-southeast1,n2-standard-32,32,128,2.08
